id,name.local,name.en,name.slug,code.id,children_count.locality,geo.lat,geo.lon
JOMAF_al-zatary-camp,مخيم الزعتري*,Al-Za'tary Camp*,al-zatary-camp,JOMAF_al-zatary-camp,1,32.54,37.616
JOMAF_alamer-alhusain-ben-abdollah,الامير الحسين بن عبدالله,Alamer Alhusain Ben Abdollah,alamer-alhusain-ben-abdollah,JOMAF_alamer-alhusain-ben-abdollah,8,32.54,37.616
JOMAF_alrwashed-aljadedah,الرويشد الجديدة,Alrwashed Aljadedah,alrwashed-aljadedah,JOMAF_alrwashed-aljadedah,5,32.54,37.616
JOMAF_alzatary-almansheah,الزعتري والمنشية,Alza'tary & Almansheah,alzatary-almansheah,JOMAF_alzatary-almansheah,3,32.54,37.616
JOMAF_asfawi,الصفاوي,Asfawi,asfawi,JOMAF_asfawi,2,32.54,37.616
JOMAF_aum-qutain-makfieah,ام القطين والمكيفته,Aum Qutain & Makfieah,aum-qutain-makfieah,JOMAF_aum-qutain-makfieah,0,32.54,37.616
JOMAF_balama-aljadedah,بلعما الجديدة,Bal'ama Aljadedah,balama-aljadedah,JOMAF_balama-aljadedah,17,32.54,37.616
JOMAF_bani-hashem,بني هاشم,Bani Hashem,bani-hashem,JOMAF_bani-hashem,5,32.54,37.616
JOMAF_basleah,الباسلية,Basleah,basleah,JOMAF_basleah,4,32.54,37.616
JOMAF_dair-alkahf-aljadedah,دير الكهف الجديدة,Dair Alkahf Aljadedah,dair-alkahf-aljadedah,JOMAF_dair-alkahf-aljadedah,17,32.54,37.616
JOMAF_husha-aljadedah,حوشا الجديدة,Husha Aljadedah,husha-aljadedah,JOMAF_husha-aljadedah,9,32.54,37.616
JOMAF_khaldiyah,الخالدية,Khaldiyah,khaldiyah,JOMAF_khaldiyah,4,32.54,37.616
JOMAF_mafraq-alkubrah,المفرق الكبرى,Mafraq Alkubrah,mafraq-alkubrah,JOMAF_mafraq-alkubrah,13,32.54,37.616
JOMAF_manshiat-bane-hasan,منشية بني حسن,Manshiat Bane Hasan,manshiat-bane-hasan,JOMAF_manshiat-bane-hasan,3,32.54,37.616
JOMAF_rhab-aljadedah,رحاب الجديدة,Rhab Aljadedah,rhab-aljadedah,JOMAF_rhab-aljadedah,26,32.54,37.616
JOMAF_sabha-defianeh,صبحا والدفيانه,Sabha & Defianeh,sabha-defianeh,JOMAF_sabha-defianeh,0,32.54,37.616
JOMAF_salhiah-naifeh,الصالحية ونايفة,Salhiah & Naifeh,salhiah-naifeh,JOMAF_salhiah-naifeh,10,32.54,37.616
JOMAF_sama-serhan,سما السرحان,Sama Serhan,sama-serhan,JOMAF_sama-serhan,9,32.54,37.616
JOMAF_um-aljmal-aljadedah,أم الجمال الجديدة,Um aljmal Aljadedah,um-aljmal-aljadedah,JOMAF_um-aljmal-aljadedah,9,32.54,37.616
