# Data from Open Admin Data (https://openadmindata.org/jo/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/jordan-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.governorate,children_count.municipality,children_count.locality,zip_codes,geo.lat,geo.lon,source_url
JOAJL,1,محافظة,Governorate,عجلون,Ajlun,ajlun,JOAJL,,,,,,5,0,,32.294,35.744,https://openadmindata.org/jo/governorates/ajlun/
JOAJL_ajlun-alkubrah,2,بلدية,Municipality,عجلون الكبرى,Ajlun Alkubrah,ajlun-alkubrah,JOAJL_ajlun-alkubrah,,JOAJL,عجلون,Ajlun,,,0,,32.294,35.744,
JOAJL_alauion,2,بلدية,Municipality,العيون,Alauion,alauion,JOAJL_alauion,,JOAJL,عجلون,Ajlun,,,0,,32.294,35.744,
JOAJL_janed,2,بلدية,Municipality,الجنيد,Janed,janed,JOAJL_janed,,JOAJL,عجلون,Ajlun,,,0,,32.294,35.744,
JOAJL_kufrangeh-aljadedah,2,بلدية,Municipality,كفرنجه الجديدة,Kufrangeh Aljadedah,kufrangeh-aljadedah,JOAJL_kufrangeh-aljadedah,,JOAJL,عجلون,Ajlun,,,0,,32.294,35.744,
JOAJL_shafa,2,بلدية,Municipality,الشفا,Shafa,shafa,JOAJL_shafa,,JOAJL,عجلون,Ajlun,,,0,,32.294,35.744,
JOAMM,1,محافظة,Governorate,عمّان,Amman,amman,JOAMM,,,,,,11,138,,31.671,36.447,https://openadmindata.org/jo/governorates/amman/
JOAMM_amanet-amman-alkubrah,2,بلدية,Municipality,أمانة عمان الكبرى,Amanet Amman Alkubrah,amanet-amman-alkubrah,JOAMM_amanet-amman-alkubrah,,JOAMM,عمّان,Amman,,,33,,31.671,36.447,
JOAMM_amireah,2,بلدية,Municipality,العامرية,Amireah,amireah,JOAMM_amireah,,JOAMM,عمّان,Amman,,,8,,31.671,36.447,
JOAMM_hosban,2,بلدية,Municipality,حسبان,Hosba'n,hosban,JOAMM_hosban,,JOAMM,عمّان,Amman,,,5,,31.671,36.447,
JOAMM_jizah,2,بلدية,Municipality,الجيزة,Jizah,jizah,JOAMM_jizah,,JOAMM,عمّان,Amman,,,33,,31.671,36.447,
JOAMM_marj-al-hamam,2,بلدية,Municipality,مرج الحمام,Marj Al-hamam,marj-al-hamam,JOAMM_marj-al-hamam,,JOAMM,عمّان,Amman,,,14,,31.671,36.447,
JOAMM_muaqqar,2,بلدية,Municipality,الموقر,Muaqqar,muaqqar,JOAMM_muaqqar,,JOAMM,عمّان,Amman,,,23,,31.671,36.447,
JOAMM_naoor,2,بلدية,Municipality,ناعور,Na'oor,naoor,JOAMM_naoor,,JOAMM,عمّان,Amman,,,15,,31.671,36.447,
JOAMM_sahab,2,بلدية,Municipality,سحاب,Sahab,sahab,JOAMM_sahab,,JOAMM,عمّان,Amman,,,1,,31.671,36.447,
JOAMM_talbiyyeh-camp,2,بلدية,Municipality,مخيم الطالبية*,Talbiyyeh Camp*,talbiyyeh-camp,JOAMM_talbiyyeh-camp,,JOAMM,عمّان,Amman,,,0,,31.671,36.447,
JOAMM_um-al-rasas,2,بلدية,Municipality,أم الرصاص,Um Al-Rasas,um-al-rasas,JOAMM_um-al-rasas,,JOAMM,عمّان,Amman,,,0,,31.671,36.447,
JOAMM_um-elbasatien,2,بلدية,Municipality,أم البساتين,Um Elbasatien,um-elbasatien,JOAMM_um-elbasatien,,JOAMM,عمّان,Amman,,,6,,31.671,36.447,
JOAQA,1,محافظة,Governorate,العقبة,Aqaba,aqaba,JOAQA,,,,,,6,26,,29.976,35.347,https://openadmindata.org/jo/governorates/aqaba/
JOAQA_hud-aldisah,2,بلدية,Municipality,حوض الديسة,Hud Aldisah,hud-aldisah,JOAQA_hud-aldisah,,JOAQA,العقبة,Aqaba,,,4,,29.976,35.347,
JOAQA_iqlem-alaqaba,2,بلدية,Municipality,إقليم العقبة,Iqlem Alaqaba,iqlem-alaqaba,JOAQA_iqlem-alaqaba,,JOAQA,العقبة,Aqaba,,,4,,29.976,35.347,
JOAQA_krekrah-finan,2,بلدية,Municipality,فريقره وفينان,Krekrah & Finan,krekrah-finan,JOAQA_krekrah-finan,,JOAQA,العقبة,Aqaba,,,0,,29.976,35.347,
JOAQA_qatar-rahmah,2,بلدية,Municipality,قطر و رحمة,Qatar & Rahmah,qatar-rahmah,JOAQA_qatar-rahmah,,JOAQA,العقبة,Aqaba,,,2,,29.976,35.347,
JOAQA_quairahaljadedah,2,بلدية,Municipality,القويرة الجديدة,QuairahAljadedah,quairahaljadedah,JOAQA_quairahaljadedah,,JOAQA,العقبة,Aqaba,,,11,,29.976,35.347,
JOAQA_wadi-araba,2,بلدية,Municipality,وادي عربه,Wadi Araba,wadi-araba,JOAQA_wadi-araba,,JOAQA,العقبة,Aqaba,,,5,,29.976,35.347,
JOBAL,1,محافظة,Governorate,البلقاء,Balqa,balqa,JOBAL,,,,,,10,76,,31.954,35.704,https://openadmindata.org/jo/governorates/balqa/
JOBAL_ain-albasha,2,بلدية,Municipality,عين الباشا,Ain Albasha,ain-albasha,JOBAL_ain-albasha,,JOBAL,البلقاء,Balqa,,,15,,31.954,35.704,
JOBAL_al-ardha,2,بلدية,Municipality,العارضة,Al-Ardha,al-ardha,JOBAL_al-ardha,,JOBAL,البلقاء,Balqa,,,15,,31.954,35.704,
JOBAL_alshoneh-alwasta,2,بلدية,Municipality,الشونة الوسطى,Alshoneh Alwasta,alshoneh-alwasta,JOBAL_alshoneh-alwasta,,JOBAL,البلقاء,Balqa,,,7,,31.954,35.704,
JOBAL_baqah-camp,2,بلدية,Municipality,مخيم البقعة*,Baq'ah Camp*,baqah-camp,JOBAL_baqah-camp,,JOBAL,البلقاء,Balqa,,,0,,31.954,35.704,
JOBAL_dair-alla,2,بلدية,Municipality,دير علا,Dair Alla,dair-alla,JOBAL_dair-alla,,JOBAL,البلقاء,Balqa,,,8,,31.954,35.704,
JOBAL_fuhais,2,بلدية,Municipality,الفحيص,Fuhais,fuhais,JOBAL_fuhais,,JOBAL,البلقاء,Balqa,,,1,,31.954,35.704,
JOBAL_maddi,2,بلدية,Municipality,معدي,M'addi,maddi,JOBAL_maddi,,JOBAL,البلقاء,Balqa,,,8,,31.954,35.704,
JOBAL_mahes,2,بلدية,Municipality,ماحص,Mahes,mahes,JOBAL_mahes,,JOBAL,البلقاء,Balqa,,,1,,31.954,35.704,
JOBAL_salt-kubrah,2,بلدية,Municipality,السلط الكبرى,Salt Kubrah,salt-kubrah,JOBAL_salt-kubrah,,JOBAL,البلقاء,Balqa,,,20,,31.954,35.704,
JOBAL_swaimeh,2,بلدية,Municipality,سويمة,Swaimeh,swaimeh,JOBAL_swaimeh,,JOBAL,البلقاء,Balqa,,,1,,31.954,35.704,
JOIRB,1,محافظة,Governorate,إربد,Irbid,irbid,JOIRB,,,,,,19,136,,32.475,35.814,https://openadmindata.org/jo/governorates/irbid/
JOIRB_alkfarat,2,بلدية,Municipality,الكفارات,Alkfarat,alkfarat,JOIRB_alkfarat,,JOIRB,إربد,Irbid,,,7,,32.475,35.814,
JOIRB_alseru,2,بلدية,Municipality,السرو,Alseru,alseru,JOIRB_alseru,,JOIRB,إربد,Irbid,,,5,,32.475,35.814,
JOIRB_alshoaleh,2,بلدية,Municipality,الشعلة,Alshoaleh,alshoaleh,JOIRB_alshoaleh,,JOIRB,إربد,Irbid,,,3,,32.475,35.814,
JOIRB_alyarmook-aljadedah,2,بلدية,Municipality,اليرموك الجديدة,Alyarmook Aljadedah,alyarmook-aljadedah,JOIRB_alyarmook-aljadedah,,JOIRB,إربد,Irbid,,,8,,32.475,35.814,
JOIRB_brkash,2,بلدية,Municipality,برقش,Brkash,brkash,JOIRB_brkash,,JOIRB,إربد,Irbid,,,7,,32.475,35.814,
JOIRB_dair-abi-said-jadeda,2,بلدية,Municipality,دير أبي سعيد الجديدة,Dair Abi Sa'id Jadeda,dair-abi-said-jadeda,JOIRB_dair-abi-said-jadeda,,JOIRB,إربد,Irbid,,,9,,32.475,35.814,
JOIRB_garb-irbid,2,بلدية,Municipality,غرب اربد,Garb Irbid,garb-irbid,JOIRB_garb-irbid,,JOIRB,إربد,Irbid,,,10,,32.475,35.814,
JOIRB_irbid-alkubrah,2,بلدية,Municipality,اربد الكبرى,Irbid Alkubrah,irbid-alkubrah,JOIRB_irbid-alkubrah,,JOIRB,إربد,Irbid,,,22,,32.475,35.814,
JOIRB_khaled-abn-alwaleed,2,بلدية,Municipality,خالد بن الوليد,Khaled Abn Alwaleed,khaled-abn-alwaleed,JOIRB_khaled-abn-alwaleed,,JOIRB,إربد,Irbid,,,5,,32.475,35.814,
JOIRB_mazar-jadeda,2,بلدية,Municipality,المزار الجديدة,Mazar Jadeda,mazar-jadeda,JOIRB_mazar-jadeda,,JOIRB,إربد,Irbid,,,12,,32.475,35.814,
JOIRB_moath-abn-jabal,2,بلدية,Municipality,معاذ بن جبل,Mo'ath Abn Jabal,moath-abn-jabal,JOIRB_moath-abn-jabal,,JOIRB,إربد,Irbid,,,9,,32.475,35.814,
JOIRB_rabeat-al-koorah,2,بلدية,Municipality,رابية الكورة,Rabeat Al Koorah,rabeat-al-koorah,JOIRB_rabeat-al-koorah,,JOIRB,إربد,Irbid,,,5,,32.475,35.814,
JOIRB_ramtha-jadeda,2,بلدية,Municipality,الرمثا الجديدة,Ramtha Jadeda,ramtha-jadeda,JOIRB_ramtha-jadeda,,JOIRB,إربد,Irbid,,,2,,32.475,35.814,
JOIRB_sahel-horan,2,بلدية,Municipality,سهل حوران,Sahel Horan,sahel-horan,JOIRB_sahel-horan,,JOIRB,إربد,Irbid,,,4,,32.475,35.814,
JOIRB_shahed-azmi-el-mufti-hosoncamp,2,بلدية,Municipality,مخيم الشهيد عزمي المفتي(الحصن)*,Shahed Azmi El-Mufti (Hoson)Camp*,shahed-azmi-el-mufti-hosoncamp,JOIRB_shahed-azmi-el-mufti-hosoncamp,,JOIRB,إربد,Irbid,,,0,,32.475,35.814,
JOIRB_sharhabeel-abn-hasnah,2,بلدية,Municipality,شرحبيل بن حسنة,Sharhabeel Abn Hasnah,sharhabeel-abn-hasnah,JOIRB_sharhabeel-abn-hasnah,,JOIRB,إربد,Irbid,,,8,,32.475,35.814,
JOIRB_tabaqat-fahl,2,بلدية,Municipality,طبقة فحل,Tabaqat Fahl,tabaqat-fahl,JOIRB_tabaqat-fahl,,JOIRB,إربد,Irbid,,,6,,32.475,35.814,
JOIRB_taybeh-jadeda,2,بلدية,Municipality,الطيبة الجديدة,Taybeh  Jadeda,taybeh-jadeda,JOIRB_taybeh-jadeda,,JOIRB,إربد,Irbid,,,7,,32.475,35.814,
JOIRB_wastiyyah,2,بلدية,Municipality,الوسطية,Wastiyyah,wastiyyah,JOIRB_wastiyyah,,JOIRB,إربد,Irbid,,,7,,32.475,35.814,
JOJER,1,محافظة,Governorate,جرش,Jarash,jarash,JOJER,,,,,,6,0,,32.242,35.834,https://openadmindata.org/jo/governorates/jarash/
JOJER_almarad,2,بلدية,Municipality,المعراض,Alm'arad,almarad,JOJER_almarad,,JOJER,جرش,Jarash,,,0,,32.242,35.834,
JOJER_alnasim,2,بلدية,Municipality,النسيم,alnasim,alnasim,JOJER_alnasim,,JOJER,جرش,Jarash,,,0,,32.242,35.834,
JOJER_bab-amman,2,بلدية,Municipality,باب عمان,Bab Amman,bab-amman,JOJER_bab-amman,,JOJER,جرش,Jarash,,,0,,32.242,35.834,
JOJER_borma,2,بلدية,Municipality,برما,Borma,borma,JOJER_borma,,JOJER,جرش,Jarash,,,0,,32.242,35.834,
JOJER_jarash-alkubrah,2,بلدية,Municipality,جرش الكبرى,Jarash Alkubrah,jarash-alkubrah,JOJER_jarash-alkubrah,,JOJER,جرش,Jarash,,,0,,32.242,35.834,
JOJER_soof-campgaza-camp,2,بلدية,Municipality,مخيم سوف، مخيم غزه*,"Soof Camp,Gaza Camp*",soof-campgaza-camp,JOJER_soof-campgaza-camp,,JOJER,جرش,Jarash,,,0,,32.242,35.834,
JOKAR,1,محافظة,Governorate,الكرك,Karak,karak,JOKAR,,,,,,10,87,,31.119,35.795,https://openadmindata.org/jo/governorates/karak/
JOKAR_abdulah-bin-ruaha,2,بلدية,Municipality,عبد الله بن رواحه,Abdulah Bin Ruaha,abdulah-bin-ruaha,JOKAR_abdulah-bin-ruaha,,JOKAR,الكرك,Karak,,,6,,31.119,35.795,
